time,signal_type,direction,current_position,entry_price,fill_price,qty,cost,realized_pnl,net_pnl_after_cost
2026-06-01T11:18:07-04:00,entry,long,50,604.10,604.10,50,6.39,0,-6.39
2026-06-01T11:20:16-04:00,exit,flat,0,604.16,604.16,50,7.91,3.00,-4.91
2026-06-01T13:38:50-04:00,entry,long,50,613.17,613.17,50,6.48,0.00,-6.48
2026-06-01T13:43:34-04:00,reversal,long,10,613.80,613.80,40,2.44,25.20,22.76
2026-06-01T13:43:34-04:00,exit,flat,0,613.73,613.73,10,0.87,5.60,4.73
2026-06-01T15:53:57-04:00,entry,long,50,611.30,611.30,50,6.46,0.00,-6.46
2026-06-01T15:54:07-04:00,exit,flat,0,611.55,611.55,50,7.99,12.50,4.51
2026-06-02T12:16:09-04:00,entry,long,50,605.67,605.67,50,6.41,0.00,-6.41
2026-06-02T12:54:02-04:00,exit,flat,0,600.81,600.81,50,2.91,-243.00,-245.91
2026-06-02T13:26:14-04:00,exit,short,-50,602.96,602.96,50,7.89,0.00,-7.89
2026-06-02T13:30:15-04:00,entry,flat,0,602.97,602.97,50,6.38,-0.50,-6.88
2026-06-03T10:08:12-04:00,exit,short,-50,570.45,570.45,50,7.49,0.00,-7.49
2026-06-03T10:10:04-04:00,entry,flat,0,569.80,569.80,50,6.05,32.50,26.45
2026-06-03T13:18:07-04:00,exit,short,-50,565.91,565.91,50,7.43,0.00,-7.43
2026-06-03T13:22:21-04:00,entry,flat,0,566.47,566.47,50,6.02,-28.00,-34.02
