time,signal_type,direction,current_position,entry_price,fill_price,qty,cost,realized_pnl,net_pnl_after_cost
2026-06-01T11:18:07-04:00,entry,long,50,604.10,604.10,50,6.39,0.00,-6.39
2026-06-01T11:20:16-04:00,exit,flat,0,604.16,604.16,50,7.91,3.00,-4.91
2026-06-01T13:38:50-04:00,entry,long,50,613.17,613.17,50,6.48,0.00,-6.48
2026-06-01T13:43:34-04:00,reversal,long,10,613.80,613.80,40,2.44,25.20,22.76
2026-06-01T13:43:34-04:00,reversal,flat,0,613.73,613.73,10,0.87,5.60,4.73
2026-06-01T15:53:57-04:00,entry,long,50,611.30,611.30,50,6.46,0.00,-6.46
2026-06-01T15:54:07-04:00,exit,flat,0,611.55,611.55,50,7.99,12.50,4.51
2026-06-02T12:16:09-04:00,entry,long,50,605.67,605.67,50,6.41,0.00,-6.41
2026-06-02T12:54:02-04:00,reversal,flat,0,600.81,600.81,50,2.91,-243.00,-245.91
2026-06-02T13:26:14-04:00,entry,short,-50,602.96,602.96,50,7.89,0.00,-7.89
2026-06-02T13:30:15-04:00,exit,flat,0,602.97,602.97,50,6.38,-0.50,-6.88
2026-06-03T10:08:12-04:00,entry,short,-50,570.45,570.45,50,7.49,0.00,-7.49
2026-06-03T10:10:04-04:00,exit,flat,0,569.80,569.80,50,6.05,32.50,26.45
2026-06-03T13:18:07-04:00,entry,short,-50,565.91,565.91,50,7.43,0.00,-7.43
2026-06-03T13:22:21-04:00,exit,flat,0,566.47,566.47,50,6.02,-28.00,-34.02
2026-06-03T13:42:39-04:00,entry,long,50,568.04,568.04,50,6.03,0.00,-6.03
2026-06-03T14:02:07-04:00,exit,flat,0,568.98,568.98,50,7.47,47.00,39.53
2026-06-03T14:18:24-04:00,entry,short,-50,568.96,568.96,50,7.47,0.00,-7.47
2026-06-03T14:20:01-04:00,exit,flat,0,568.36,568.36,50,6.04,30.00,23.96
2026-06-03T15:47:49-04:00,entry,short,-50,570.16,570.16,50,7.48,0.00,-7.48
2026-06-03T15:54:50-04:00,reversal,flat,0,569.00,569.00,50,1.35,58.00,56.65
2026-06-04T11:28:08-04:00,entry,short,-50,584.98,584.98,50,7.67,0.00,-7.67
2026-06-04T11:32:23-04:00,exit,flat,0,582.68,582.68,50,14.92,115.00,100.08
2026-06-04T14:30:33-04:00,entry,long,50,557.52,557.52,50,5.93,0.00,-5.93
2026-06-04T14:32:29-04:00,exit,flat,0,558.50,558.50,50,7.33,49.00,41.67
2026-06-04T15:02:46-04:00,entry,long,50,562.00,562.00,50,5.98,0.00,-5.98
2026-06-04T15:04:21-04:00,exit,flat,0,562.49,562.49,50,7.39,24.50,17.11
2026-06-04T15:45:53-04:00,entry,short,-50,562.13,562.13,50,7.38,0.00,-7.38
2026-06-04T15:46:04-04:00,exit,flat,0,562.28,562.28,50,5.97,-7.50,-13.47
