symbol,date,feature,horizon,variant,n,rank_ic,ic,tstat,edge_bps,p_value
APP,2025-11-25,ofi_ewma_zscore,300,count_window,153,-0.01937979517031973,-0.027626213405530762,-0.23818764304518342,,
APP,2025-11-25,ofi_ewma_zscore,300,horizon_window,89,0.016956077630234934,-0.04155281506826789,0.158178503783042,,
APP,2025-11-25,micro_price_zscore,300,count_window,162,-0.08701739232910623,-0.03304513999742877,-1.1048836762761893,,
APP,2025-11-25,micro_price_zscore,300,horizon_window,101,-0.0549563191613279,-0.036534723089404114,-0.5476360813394097,,
APP,2025-11-25,realized_vol_30s_zscore,300,count_window,153,0.07412351064624977,0.03738708836951054,0.9133575318168372,,
APP,2025-11-25,realized_vol_30s_zscore,300,horizon_window,88,0.08691134514458808,0.12645515950347505,0.8090440400748475,,
APP,2025-11-25,kyle_lambda_60s_zscore,300,count_window,153,-0.21087573755504738,-0.17610677404087918,-2.6508954601608252,,
APP,2025-11-25,kyle_lambda_60s_zscore,300,horizon_window,85,-0.2949970685948798,-0.1873511257636222,-2.8127225338884743,,
APP,2025-11-25,kyle_alignment,300,kyle_legacy_win,85,0.011921047488762947,0.04279441673614223,0.10861362923041018,,
APP,2025-11-25,kyle_alignment,300,kyle_causal_win,85,-0.2949970685948798,-0.1873511257636222,-2.8127225338884743,,
APP,2025-11-25,ofi_kyle_input,300,ofi_ewma_zscore,89,0.016956077630234934,-0.04155281506826789,0.158178503783042,0.14791048475479113,
APP,2025-11-25,ofi_kyle_input,300,ofi_integrated,97,-0.15932619076039972,0.02500409205761084,-1.5730132949905797,-6.155118106221784,
APP,2025-11-25,h8_disloc_lambda,300,lambda_elevated|incl,47,-0.04359389454209066,0.12313378664274298,-0.2927150089200406,6.603421385487382,0.772311584166133
APP,2025-11-25,h8_disloc_lambda,300,lambda_baseline|incl,36,-0.0380952380952381,0.009126905429091777,-0.22229286026208525,,0.8266917717147526
APP,2025-11-25,h8_disloc_lambda,300,lambda_elevated|primary,42,-0.06409529211571185,0.1084317288020197,-0.40620947569014987,0.7633910499620764,0.6885493664108925
APP,2025-11-25,h8_disloc_lambda,300,lambda_baseline|primary,34,-0.026432391138273493,0.011445206373084086,-0.14957644564974926,,0.8829713080307634
